1	0.7000	0.7000
2	0.7917	0.8250
3	0.5750	0.5833
1	0.7000	0.6750
1	0.7000	0.7167
2	0.7917	0.7583
3	0.5750	0.5750
4	0.7917	0.7583
5	0.5417	0.4583
1	0.7000	0.6917
1	0.7000	0.7250
2	0.7917	0.7750
3	0.5750	0.5750
3	0.5750	0.6000
4	0.7917	0.8167
1	0.7000	0.7333
1	0.7000	0.7083
1	0.7000	0.6917
2	0.7917	0.8000
3	0.5750	0.5750
4	0.7917	0.7750
5	0.5417	0.5500
6	0.5750	0.6000
7	0.6583	0.6833
8	0.5667	0.5750
9	0.5333	0.5500
10	0.5583	0.5750
11	0.6083	0.6083
12	0.5917	0.6667
13	0.5750	0.5750
14	0.4500	0.4500
15	0.5500	0.5583
16	0.6167	0.6167
17	0.7667	0.7667
18	0.6833	0.6750
19	0.5750	0.6083
20	0.8333	0.8000
21	0.6333	0.6417
22	0.8000	0.7750
23	0.5583	0.5250
24	0.7667	0.7583
25	0.5833	0.6333
26	0.6167	0.6083
27	0.6833	0.6917
28	0.6333	0.6333
29	0.4500	0.4583
30	0.5667	0.5417
31	0.4583	0.4667
32	0.5750	0.5833
33	0.6917	0.6917
34	0.5250	0.5250
35	0.3750	0.3083
36	0.6667	0.6333
37	0.5583	0.5750
38	0.5917	0.5750
39	0.6167	0.5583
40	0.4500	0.4500
41	0.4333	0.4000
42	0.7833	0.7917
